,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
382,611 Shearer St,54981,611 Shearer St  54981,"611, Shearer Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35483408625436,-89.07906179034448
383,100 S Lincoln St,54983,100 S Lincoln St  54983,"100, South Lincoln Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.320653,-88.921239
385,High St,54981,High St  54981,"High Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3531242,-89.0898343
386,615 S Main St,54981,615 S Main St  54981,"615, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.351660681990644,-89.08505694554786
412,1145 Shoemaker Rd,54981,1145 Shoemaker Rd  54981,"Shoemaker Road, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.344924,-89.067426
413,214 Deer St,54981,214 Deer St  54981,"214, Deer Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35465157142857,-89.08266714285713
414,214 Deer St,54981,214 Deer St  54981,"214, Deer Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35465157142857,-89.08266714285713
416,Evans Street,54981,Evans Street  54981,"Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3422472,-89.0747911
422,600 Oak St,54981,600 Oak St  54981,"600, Oak Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36317888957501,-89.0774152354929
423,1008 Mill Pond Circle,54983,1008 Mill Pond Circle  54983,"1008, Mill Pond Circle, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.32897359058569,-88.94929694293927
424,1008 Mill Pond Circle,54983,1008 Mill Pond Circle  54983,"1008, Mill Pond Circle, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.32897359058569,-88.94929694293927
425,N2336 Sky View Lane,54981,N2336 Sky View Lane  54981,"Sky View Lane, Little Hope, Town of Dayton, Waupaca County, Wisconsin, 54981, United States",44.3256219,-89.110396
426,119 Pine St,54981,119 Pine St  54981,"119, Pine Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35827151040211,-89.07855981555454
440,922 Evans St,54981,922 Evans St  54981,"922, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34208143301565,-89.06976584326806
441,922 Evans St,54981,922 Evans St  54981,"922, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34208143301565,-89.06976584326806
442,922 Evans St,54981,922 Evans St  54981,"922, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34208143301565,-89.06976584326806
443,922 Evans St,54981,922 Evans St  54981,"922, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34208143301565,-89.06976584326806
444,922 Evans St,54981,922 Evans St  54981,"922, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34208143301565,-89.06976584326806
445,922 Evans St,54981,922 Evans St  54981,"922, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34208143301565,-89.06976584326806
446,605 Industrial Dr,54981,605 Industrial Dr  54981,"605, Industrial Drive, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35621454206214,-89.04563862961376
447,429 North St,54981,429 North St  54981,"429, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360986757314706,-89.09095015605567
448,315 N. Main St,54981,315 N. Main St  54981,"315, North Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35990557142857,-89.08505057142858
455,529 Granite St,54981,529 Granite St  54981,"529, Granite Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36012407452944,-89.09385309160909
457,601 S Mill St,54981,601 S Mill St  54981,"Mill Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360156,-89.084305
463,420 North St,54981,420 North St  54981,"420, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361150534158966,-89.09076558329613
464,802 10th St,54981,802 10th St  54981,"802, 10th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3503107092845,-89.07403989667776
478,510 North St,54981,510 North St  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
479,510 North St,54981,510 North St  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
480,510 North St,54981,510 North St  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
481,510 North St,54981,510 North St  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
484,205 N Morton,54981,205 N Morton  54981,"205, North Morton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3595190763608,-89.09500797048757
485,908 Honey Bear Lane,54981,908 Honey Bear Lane  54981,"908, Honey Bear Lane, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.368390542147814,-89.09562846073904
487,905 Evans St,54981,905 Evans St  54981,"905, Evans Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.342612,-89.080127
488,600 oak st,54981,600 oak st  54981,"600, Oak Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36317888957501,-89.0774152354929
507,9th Street,54981,9th Street  54981,"9th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.348282,-89.075183
508,905 9th Street,54981,905 9th Street  54981,"905, 9th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34757026466582,-89.07505971330141
520,Royalton St,54981,Royalton St  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
