Animal #,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
A45409783,105 Crestview Dr,54981,105 Crestview Dr  54981,"105, Crestview Lane, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.367581141109476,-89.08604539389472
A45410032,Royalton St.,54981,Royalton St.  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
A45410036,Royalton St.,54981,Royalton St.  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
A45410039,Royalton St.,54981,Royalton St.  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
A45447115,206 N State St Upper,54981,206 N State St Upper  54981,"206, State Street, Upper Gwynedd Township, Montgomery County, Pennsylvania, 19446, United States",40.23023252880706,-75.29060115027129
A45607007,808 S. Washington St.,54981,808 S. Washington St.  54981,"South Washington Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.353932,-89.086149
A45619252,Shadow Wood Lane,54981,Shadow Wood Lane  54981,"Shadow Lane, Indian Trail Estates, Wood County, Ohio, 43447, United States",41.5913461,-83.4350175
A45619274,Shadow Wood Lane,54981,Shadow Wood Lane  54981,"Shadow Lane, Indian Trail Estates, Wood County, Ohio, 43447, United States",41.5913461,-83.4350175
A43793332,Royalton St,54981,Royalton St  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
A43793347,Royalton St,54981,Royalton St  54981,"Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3514145,-89.0719016
A43874837,615 S Main St,54981,615 S Main St  54981,"615, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.351660681990644,-89.08505694554786
A43876258,Behind Hardees,54981,Behind Hardees  54981,"Hardee's, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.358154049999996,-89.09680538806755
A43878780,326 w union st,54981,326 w union st  54981,"326, West Union Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35713872026547,-89.08822189520588
A43907626,401 W Parker St,54981,401 W Parker St  54981,"W, 1039, South Parker Road, Denver, Denver County, Colorado, 80231, United States",39.69795245,-104.9028675
A43921940,931 Marsh St,54981,931 Marsh St  54981,"931, Marsh Road, Tyre, Tyre Town, Seneca County, New York, 13148, United States",42.980322,-76.8111710319149
A43921945,931 Marsh St,54981,931 Marsh St  54981,"931, Marsh Road, Tyre, Tyre Town, Seneca County, New York, 13148, United States",42.980322,-76.8111710319149
A43959753,406 W Parker St,54981,406 W Parker St  54981,"406, I 20, Weatherford, Parker County, Texas, 76086, United States",32.7282668,-97.8284901
A44026601,Grand Seasons Drive,54981,Grand Seasons Drive  54981,"Grand Seasons Drive, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356309,-89.118414
A45818874,913 Berlin St,54981,913 Berlin St  54981,"913, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34770481632653,-89.08061234693878
A45927442,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
A45927453,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
A45927457,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
A45927462,N. Franklin St.,54981,N. Franklin St.  54981,"North Franklin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.362113,-89.087403
A44096877,on road close to 800 Oak St,54981,on road close to 800 Oak St  54981,"ON THE ROAD, 平和橋通り, 葛飾区, 東京都, 124-0024, 日本",35.7148574,139.86190929518904
A44264903,1407 Berlin St,54981,1407 Berlin St  54981,"1407, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.341151669016504,-89.07975915188572
A44305606,1402 Royalton St,54981,1402 Royalton St  54981,"Waupaca County Law Enforcement Center, 1402, Royalton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3508625,-89.0665175
A44305730,Churchill St by lake,54949,Churchill St by lake  54949,"Colegio Winston Churchill Spencer, 41, Cuerda Oriente Licenciado Genaro García, Jardìn Balbuena, Venustiano Carranza, Ciudad de México, 15900, México",19.4137005,-99.0986761205859
A44388956,Park ave,54981,Park ave  54981,"Park Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.346492,-89.076416
A45967175,802 8th st,54981,802 8th st  54981,"802, 8th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34930966666667,-89.07653955555556
A46039316,404 S. Main St,54981,404 S. Main St  54981,"404, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35407383333334,-89.08498183333333
A46046699,W. Fulton St.,54981,W. Fulton St.  54981,"West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356045,-89.11787
A46135068,610 berlin st,54981,610 berlin st  54981,"610, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35196474385971,-89.0804493919524
A46147329,609 E Fulton,54981,609 E Fulton  54981,"609, East Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.357921494685975,-89.07498752753337
A46197750,1020 covered bridge rd,54981,1020 covered bridge rd  54981,"1020, Covered Bridge Road, Waupaca, Town of Farmington, Waupaca County, Wisconsin, 54981, United States",44.35766780203802,-89.10823485863415
A46247833,N Harrison St,54981,N Harrison St  54981,"North Harrison Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3579405,-89.092648
A46270818,206 W Main St,54983,206 W Main St  54983,"206, West Main Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.32100031901137,-88.93783821552243
