Animal #,Species,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
A39890295,Cat,102 s oborn st,54981,102 s oborn st  54981,"102, South Oborn Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35594,-89.07482806833788
A39955341,Cat,607 E Fulton St,54981,607 E Fulton St  54981,"607, East Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35792137101448,-89.07496489565003
A39972240,Cat,Woodland Circle,54981,Woodland Circle  54981,"Woodland Circle, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36964,-89.098324
A39972244,Cat,Woodland Circle,54981,Woodland Circle  54981,"Woodland Circle, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36964,-89.098324
A36718457,Cat,High St,54983,High St  54983,"High Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.3181119,-88.9341154
A40006280,Cat,S Western Ave,54981,S Western Ave  54981,"South Western Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3539512,-89.103185
A40034460,Dog,Hwy 22 and Maynard Rd,54981,Hwy 22 and Maynard Rd  54981,"22, Maynard Drive, Bishop Wood, Gloucester Township, Camden County, New Jersey, 08081, United States",39.75849975,-75.01798899141741
A40089884,Cat,406 W. Parker St,54981,406 W. Parker St  54981,"406, I 20, Weatherford, Parker County, Texas, 76086, United States",32.7282668,-97.8284901
A40138748,Cat,406 w parker,54983,406 w parker  54983,"406, West Parker Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.319012,-88.93992277276408
A40194174,Dog,314 S Washington St,54981,314 S Washington St  54981,"South Washington Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.353932,-89.086149
A40194880,Cat,902 Riverside Dr,nan,902 Riverside Dr  nan,"902, Riverside Drive, Riverside, Newport News, Virginia, 23606, United States",37.05080387619048,-76.50281603809523
A40233189,Cat,510 North St,54981,510 North St  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
A37748603,Cat,"Alfred St, trailer park, lot 30",54983,"Alfred St, trailer park, lot 30  54983","Alfred Street, Nelson's Trailer Park,, Tufts Cove, Dartmouth, Nova Scotia, B3A 4E4, Canada",44.6802839,-63.5899976
A37748622,Cat,"Alfred St, trailer park, lot 30",54983,"Alfred St, trailer park, lot 30  54983","Alfred Street, Nelson's Trailer Park,, Tufts Cove, Dartmouth, Nova Scotia, B3A 4E4, Canada",44.6802839,-63.5899976
A37800696,Cat,510 North St,54981,510 North St  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
A37856460,Dog,Park Ave by Hospital,54981,Park Ave by Hospital  54981,"Park Avenue, Lerchenfeldstraße, Bezirksteil Englischer Garten Süd, Altstadt-Lehel, München, Bayern, 80538, Deutschland",48.1451904,11.592700314695865
A37917209,Cat,322 Oak St,54981,322 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
A37920980,Dog,S. Main St and Randall St,54981,S. Main St and Randall St  54981,"Main Street, Randall County, Texas, United States",35.045555,-101.91468
A37945206,Dog,South Park,54981,South Park  54981,"South Park, Waupaca, Waupaca County, Wisconsin, United States",44.3482615,-89.08547264744995
A37955355,Dog,"Shadow Rd, Town of Lind",54981,"Shadow Rd, Town of Lind  54981","Shadow Road, Town of Lind, Waupaca County, Wisconsin, 54981, United States",44.319449,-89.0977594
A37961666,Dog,120 N Morton St.,54981,120 N Morton St.  54981,"120, North Morton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35829194134481,-89.09458946292256
A38050022,Dog,601 Lakeside Pkwy (dog park),54981,601 Lakeside Pkwy (dog park)  54981,"South Lakeside Drive, Area E (South Lakeside/Dog Creek), Cariboo Regional District, British Columbia, V2G 5K9, Canada",52.1047041,-122.0342408
A38083080,Cat,300 E Alfred St,54983,300 E Alfred St  54983,"300, East Alfred Street, Weyauwega, Town of Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.32064,-88.927951
A38090083,Dog,801 Hill St,54981,801 Hill St  54981,"Hill Street, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.341044,-89.102174
A38096985,Cat,304 1/2  Waupaca St,54981,304 1/2  Waupaca St  54981,"304, Waupaca Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.359570824710914,-89.08130866706763
A38117262,Rabbit,E. Sumner St.,54983,E. Sumner St.  54983,"East Sumner Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.31974,-88.9299463
A38169686,Dog,South Park,54981,South Park  54981,"South Park, Waupaca, Waupaca County, Wisconsin, United States",44.3482615,-89.08547264744995
A38943735,Cat,205 E South Street,54983,205 E South Street  54983,"205, South Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.316348000000005,-88.9307435
A38982417,Cat,205 E South Street,54981,205 E South Street  54981,"Meziměstí u Broumova 1, 5. května, Meziměstí, Starostín, Meziměstí, okres Náchod, Královéhradecký kraj, Severovýchod, 54981, Česko",50.6258903,16.2401769
A39071705,Cat,101 South State Street,54981,101 South State Street  54981,"101, South State Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.357362,-89.081034
A39125641,Cat,358 Granite St,54981,358 Granite St  54981,"358, Granite Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36023169245956,-89.08916146146147
A39142822,Cat,510 North Street,54981,510 North Street  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
A39165290,Cat,108 E. Union St.,54981,108 E. Union St.  54981,"108, East Union Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35700251020408,-89.08391183673469
A39167508,Cat,127 E Main St,54981,127 E Main St  54981,"Main Street, Rural, Town of Dayton, Waupaca County, Wisconsin, 54981, United States",44.312728,-89.153077
A39178470,Cat,411 W. High St,54983,411 W. High St  54983,"411, West High Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.318188,-88.94098228458023
A39190214,Cat,128 E Main St,54981,128 E Main St  54981,"Main Street, Rural, Town of Dayton, Waupaca County, Wisconsin, 54981, United States",44.312728,-89.153077
A39254202,Dog,431 1/2 W Fulton,54981,431 1/2 W Fulton  54981,"w, Sandy Springs, Fulton County, Georgia, 30346, United States",33.9279049,-84.3564917
A39254212,Dog,431 1/2 W Fulton,54981,431 1/2 W Fulton  54981,"w, Sandy Springs, Fulton County, Georgia, 30346, United States",33.9279049,-84.3564917
A39292020,Cat,106 Birdsall St,54983,106 Birdsall St  54983,"106, West Birdsall Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.31735640053483,-88.9343990229062
A39292028,Cat,106 Birdsall St,54983,106 Birdsall St  54983,"106, West Birdsall Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.31735640053483,-88.9343990229062
A39292041,Cat,106 Birdsall St,54983,106 Birdsall St  54983,"106, West Birdsall Street, Weyauwega, Waupaca County, Wisconsin, 54983, United States",44.31735640053483,-88.9343990229062
A39307731,Cat,S. Western Ave,54981,S. Western Ave  54981,"South Western Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3539512,-89.103185
A39332293,Cat,315 Wisconsin St,54981,315 Wisconsin St  54981,"315, Wisconsin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36211086308434,-89.08964648161675
A39358144,Cat,West Fulton St,54981,West Fulton St  54981,"West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356045,-89.11787
A39417449,Cat,404 5th st,54981,404 5th st  54981,"404, 5th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35348041663539,-89.08001752563376
A39436765,Cat,300 block North St,54981,300 block North St  54981,"300, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361116,-89.087574
A40361405,Cat,310 2nd ave,54981,310 2nd ave  54981,"310, 东二环路, 蒙正, 大河乡, 七星区, 桂林市, 广西壮族自治区, 541004, 中国",25.284856400000002,110.3287520003212
A40435511,Cat,1040 Covered Bridge Rd #3,54981,1040 Covered Bridge Rd #3  54981,"1040, Covered Bridge Road, Waupaca, Town of Farmington, Waupaca County, Wisconsin, 54981, United States",44.35780510204287,-89.10823851455145
A38203327,Cat,607 Berlin St,54981,607 Berlin St  54981,"607, Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35155810789703,-89.08026278092699
A38249920,Cat,S. Main St,54981,S. Main St  54981,"South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.357078,-89.084893
A38409573,Cat,Tower Mobil,54945,Tower Mobil  54945,"Moulton Tower, Mitchell Center Drive, West Hill, Mobile, Mobile County, Alabama, 36608, United States",30.6937815,-88.18044787513662
A38463042,Cat,322 Oak St,54981,322 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
A39490655,Cat,Taco Bell Waupaca,54962,Taco Bell Waupaca  54962,"Taco Bell, 1092, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35743685,-89.1131257206949
A39551333,Cat,119 Pine St,54981,119 Pine St  54981,"119, Pine Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35827151040211,-89.07855981555454
A39616601,Cat,404 6th Street,54981,404 6th Street  54981,"404, 6th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35344559183673,-89.07909524489796
A39671901,Dog,Oak St,54981,Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
A39677423,Cat,119 Pine St,54981,119 Pine St  54981,"119, Pine Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35827151040211,-89.07855981555454
